1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
BE,NL,US									3							8	3	5																								2
BE,PL																									9	2		3	1			4							2			
BE,PL,TN																																	4	1								
BE,PL,US																														1												
BE,PT																																		8								
BE,PT,US																					3																					
BE,RO													1																													
BE,RU																		1	3	16	2	1	2			1		8									17	1	31			
BE,RU,SE													1																			20										
BE,SE																											1											16				
BE,SK																																								2		
BE,TN																										2																
BE,TW													1																													
BE,US													2	4		2		2							3					6				10			1	3		38	4	
BF,FR																																								1		
BG		8	2	2	15	7	7	6	7	6	8	5	9	15	20	19	4	2	2	9	14	10	7	13	7	3	54	5	8	9	5	9	1		2	4	7		2		1	
BG,BR																					1					1																
BG,BR,GR																				1																						
BG,CA,CZ,RU																															1											
BG,CH,MX																															2											
BG,CN,ES,IE																		1																								
BG,CZ																							5																			
BG,CZ,DZ																																		6								
BG,CZ,RU																				2																						
BG,DE				9												1	1		14	14	3		5			6		7	17		5										4	
BG,DE,FR																	1																									
BG,DE,IN																														2												
BG,DE,US																		3																								
BG,DZ,IT																																									1	
BG,EE,PL																																		1								
BG,ES																			3											3												
BG,ES,IT																			2																							
BG,ES,IT,JP															1			1																								
BG,ES,PL																					11																					
BG,ES,US																				1																						
BG,FR									2							1	1	2								11																
BG,FR,HU																										1																
BG,FR,US	7																																									
BG,GR														7																												
BG,HR,RO																																										12
BG,IN											10																													1		
BG,IT,PL																																1										
BG,JP																3															1											
BG,KZ																																					3					
BG,MX																																	2									
BG,PL												2														9				1												
BG,RO,SK																																									1	
BG,RS																				1																						
BG,RU				2									3																							2						
BG,RU,UA																																4										
BG,UA																												1														
BG,US																4		1					1																			
BG,null								6																																		
BH											5																		2							1						
BH,CN																																							2			
BH,IN,SA,US																																										4
BH,UA																																						1				
BH,US											2				2																											
BI,FR							1																																			
BI,MA								1	3																																	
BN,GB,SG																																			2							
BR	90	2	113	15	27	22	13	39	64	58	26	46	98	61	72	40	46	103	60	99	85	206	54	108	74	106	62	73	63	53	46	72	60	41	40	73	67	41	90	40	62	20
BR,BY,CN,IN,RU,SA																																								6		
BR,CA																1					1												4							3	9	2
BR,CA,DE,GB																																							1			
BR,CA,FI																																							3			
BR,CA,FR																																					3					
BR,CA,KR																																										1
BR,CA,US																																									10	
BR,CH															10										8																	
BR,CH,FR,PT																									4																	
BR,CH,KR																																		4								
BR,CH,US															4																											
BR,CL																																					2	1	7	5	10	
BR,CL,ES																																				1					1	
BR,CL,FR																																										11
BR,CN																			9																2		3					
BR,CN,CU																																						2				
BR,CN,ES,RU																																										3
BR,CN,FR,IN,RU																																					7					
BR,CN,GB,HK,OM																																										2
BR,CN,GB,HK,OM,TR																																									1	
BR,CN,GB,IT																																										1
BR,CN,IN,RU																																						10			28	
BR,CN,JP																		23																								
BR,CN,PK,US																																							4			
BR,CN,RU																																						2		22		
BR,CN,US																						1																				
BR,CO																					3								6	6		1				2					5	
BR,CO,GB,US																														2												
BR,CU																		4		6	7				3					3									6			8
BR,CU,GB,MX																													2													
BR,CU,MX																											2															
BR,CZ																																									6	
BR,CZ,US																																				12						
BR,DE	5																6	2			11					3		10	8		10		1	8		1		65				
BR,DE,IL		6																																								
BR,DE,JO,NP																																										1
BR,DE,LB																																							31			
BR,DE,MD,RO																																									11	
BR,DE,PL,RU																																						5				
BR,DE,RU													1																													
BR,DE,US																	6																								1	
BR,DZ																					3																					
BR,ES																6	6				2						4				2						16		7	9	3	1
BR,ES,FR																		5								13	11	2														
BR,ES,IT																																							4			
BR,ES,IT,RO																																				6						
BR,ES,PT																											2															
BR,ES,US																1																										
BR,ES,UY																																			1		7					
BR,FI					3																																					
BR,FR			1							2		1			4				1	5		7	2	9	1		1	2	3					15			2			1	14	6
BR,FR,GB																																					3					
BR,FR,IN,RU																														2												
BR,FR,IT																														1												
BR,FR,LB,PL																																6										
BR,FR,TN																																							4			
BR,FR,US																																							3			
BR,GB															5			1		4										8		12							6			4
BR,GB,IN																									1																	
BR,GB,PT																																							4		6	
BR,GB,US,UY																			8																							
BR,HU,US																																							6			
BR,IL																			1																					4		
BR,IN																9	8								8		8	9		2	12	5				1	4	4	1	4		
BR,IN,IT,RU																																				28						
BR,IN,JP																								3																		
BR,IN,KR																																				1						
BR,IN,RU																																				66	3		2			
BR,IN,US																			6	8				3																		
BR,IN,ZA																																					3					
BR,IT												18	13	16	2		5	3			12		3														3	11	4	3	6	19
BR,IT,RO																																							13			
BR,IT,RS																																		4								
BR,IT,US																																				5						
BR,JP																						5		1		2			1												4	
BR,KR																																							7			
BR,LB																														1												
BR,MX,RU																9																										
BR,NL												4				1	4															2										
BR,NL,US																																										
BR,PE														3																						7						6
BR,PE,US																					5																					
BR,PK																																										
BR,PK,SA,US,UZ																																										4
BR,PL																					1			4									2	4			4	11			1	
BR,PL,PT																																				4						
BR,PL,PT,UA																																										7
BR,PL,UA																																					6					
BR,PL,US																				2	2																					
BR,PT															11					3	4	2		4	1								4	16	2		7			15		7
BR,PT,US																					4																					
BR,RO																																	3	7		5						
BR,RO,US																																						3				
BR,RS																													6				4									
BR,RU																			6							1															16	
BR,RU,US																				9																						
BR,TN																																	1									
BR,UA																					1																					
BR,US										4		2	3					1	4	4	8	3	1	12	12	4	5	1	5					1	29	3	12	5		2	5	6
BR,US,UY																									1																	
BR,UY																							3																			
BW,SE,ZA,ZW																																								1		
BY	1		8	2		1	1		13	5	4	8	3		19	12		30	4	29	10	5		13	8	39	29	27	7	1	31	1			4	5						11
BY,CH,RU																									19											9						
BY,CH,SK,UA																													3													
BY,CN																																								4	6	
BY,CN,DE																				9																						
BY,CN,DE,ES,FR,TN																																									2	
BY,CN,RU																																										11
BY,CN,RU,UA																																							1	4		
BY,DE																				1					2	2																
BY,DE,FR,PT,RU																																							11			
BY,DE,FR,RU																																						6				
BY,DE,MD,NL,RU																							3																			
BY,DE,PL																					8	19					6															
BY,DE,PL,PT,RU																																							3			
BY,DE,PL,UA																					5																					
BY,DE,PT,RU																																	4									
BY,DE,RU																						2												5								
BY,DE,UA,US																								1																		
BY,ES,PT																								4																		
BY,FR													1																													
BY,FR,PL																		1																								
BY,FR,RU															1									10	5		7															
BY,GB,LT,PT,SK,UA																																					1					
BY,GB,PT																																					7					
BY,GB,PT,SK,UA																																							12			
BY,GB,US																									1																	
BY,GR,PL,UA																									7																	
BY,ID,KR																																										1
BY,IT,RU																																							12			
BY,KZ,RU,SA																																								5		
BY,LT,PT,RU																																			8							
BY,PL																17	69	24	40	11			16		2	13	2															
BY,PL,RU																													1													
BY,PT																				4	1	2	14		1	9					10											
BY,PT,RU																						2		5																		
BY,PT,SE																																					4					
BY,RU											6	10								3				1		6		10	9	6	3						14	5	7	3		3
BY,RU,TW																																									5	1
BY,RU,VN																																				1						
BY,null					14																																					
CA	2	30	19	2	9	10	43	32	42	20	43	64	40	47	69	64	77	122	56	120	141	116	96	43	95	86	60	122	90	88	130	161	237	131	216	67	64	56	58	40	42	35
CA,CH,DE																							1																			
CA,CH,DE,JP,US																													1													
CA,CH,JP,NL																	1																									
CA,CH,US																														2												
CA,CN														1									9		3	1	1		1		6	8	5	5	4	12	18	20	24	10	6	1
CA,CN,ES,PT																																				6						
CA,CN,ES,US																																					4	4				
CA,CN,FR,PT																																					1					
CA,CN,GB																																				8				2		
CA,CN,GB,US																													3													
CA,CN,RU																																									1	
CA,CN,SA,SG																																1										
CA,CN,SE,US																																								2	17	
CA,CN,US																									2				7	9										9	6	
CA,CZ,DE,ID																					3																					
CA,CZ,DE,US																															2											
CA,DE							1							5									3				1	5				19	8		8	11	3	1	6	9	2	
CA,DE,DK,NL																																							2			
CA,DE,FR,GB,US																																	23									
CA,DE,FR,IT,SK																																										
CA,DE,FR,US																															14											
CA,DE,NL																								6				5														
CA,DE,NO																												14														
CA,DE,NZ											2																															
CA,DE,NZ,US														2																												
CA,DE,RU																																					3					
CA,DE,US																			1							1					3					1						
CA,DK,FR																																		7								
CA,DZ																												1														
CA,EG																																				2	10			5		
CA,EG,SA																																										2
CA,ES													4	6																	3								2	8		
CA,ES,FR																																										4
CA,ES,FR,GB																																										1
CA,ES,GR																																	1		5							
CA,ES,GR,PT																																			3							
CA,ES,GR,PT,US																																	3									
CA,ES,IT																																									6	
CA,ES,PL,SE																																			2							
CA,ES,US																																									1	
CA,FI																			1																		6				3	
CA,FR					1				1									1				1		3	3		7	3	9	5	15	23	17			1	3	17	7	4	9	10
CA,FR,GB																																								2		
CA,FR,IN,IT,RU																														2												
CA,FR,IN,RU																													9													
CA,FR,IT																																			4							
CA,FR,IT,RU																																		17								
CA,FR,NL,US																							1																			
CA,FR,PL																9																										
CA,FR,RU																													1		5	1										
CA,FR,TW																				1																		2				
CA,FR,US																		14																	1							
CA,GB					1	4				4														24		1	9		14								9		5			4
CA,GB,ID,NL																																			4							
CA,GB,JM																														65												
CA,GB,OM																																							5			
CA,GB,RU																												9														
CA,GB,US												1																			22					21	2					
CA,GB,ZA																			7																							
CA,GR,PT,US																																		18								
CA,IN			3														2	5							8					4		1					2	2				
CA,IN,RU																														5			3								4	
CA,IR																								6					4			6	12						3			
CA,IR,MA																																										2
CA,IT																			3	2		5	3		3					3			1									
CA,IT,RU																																	25	42	36							
CA,IT,SK																															2											
CA,IT,US															6																											
CA,JM																											4															
CA,JM,US																																	9									
CA,JP								1											4				1		1	6	3		4	21	5	6	14			6						
CA,JP,KR,US																											1															
CA,JP,NO																				8																						
CA,JP,US									2					3																												
CA,JP,null																												1														
CA,KR																															1					4						
CA,KR,PK																																										1
CA,KR,US															1																											
CA,KR,US,VN																																								1		
CA,MX																						1	4																			
CA,NL																									1						8	3					8					
CA,NO																										15		6	2													
CA,NZ														1																												
CA,NZ,US																				1																						
CA,OM,US																																										
CA,PL																															1							4				
CA,PL,UA																											5															
CA,PT																					6														3	1	4					
CA,PT,US																																		3			3					
CA,RS																											1										2					
CA,RU																																7	1		18							
CA,RU,SE																																							1			
CA,SE																																			8							
CA,SE,US																																				9						
CA,SI																																							2			
CA,TR																																								2		
CA,TW																																			3							
CA,TW,US																				2																						
CA,UA																											3															
CA,UA,US																															2			6			12					
CA,US			5				1			4		4		8	1	4	8		4	7	7	10	3	3		115	8	4	20	6	29	15	30	48	3	16	30	131		7	25	9
CH	87	179	71	55	78	12	53	19	28	58	35	62	83	90	110	84	74	72	111	179	47	93	102	136	88	128	57	154	116	82	35	31	36	23	22	69	31	28	22	32	128	17
CH,CN														4					18		2								1		3											
CH,CN,DE																																						4				
CH,CN,FR																																2										
CH,CN,US																													3													
CH,CZ															1											4									2							
CH,CZ,DE,RU													5																													
CH,CZ,ES,IT,RU													2																													
CH,CZ,GB,NO,UA,US																		3																								
CH,CZ,JP																													1													
CH,CZ,US																																	7									
CH,DE	1							6	4		1	1		10	4	10	6	3	3		1	4			1	6	22		14	2	11	2	1	2		16	12	15		1	2	
CH,DE,DK								1																								3										
CH,DE,DK,NO																																				3						
CH,DE,ES																																					2		13			
CH,DE,FI,RU,SE,TW																															33											
CH,DE,FR					3						1	2					3								1						9							15				6
CH,DE,FR,GB,US														9																												
CH,DE,FR,MD																																										
CH,DE,FR,US					1																																					
CH,DE,GB																														2												
CH,DE,GB,IT																																			2							
CH,DE,HU																				1																						
CH,DE,HU,US																		1																								
CH,DE,IL														5																												
CH,DE,IT																																						2				
CH,DE,IT,PL																																										
CH,DE,IT,RU																													1													
CH,DE,JP																															1											
CH,DE,MD																												19											2			
CH,DE,NL																		3									2															
CH,DE,NL,US																	1																									
CH,DE,PT																																					9					
CH,DE,RU																		2							3																	
CH,DE,TR																									4																	
CH,DE,UA																										14	2															
CH,DE,UA,US																											1															
CH,DE,US					4		1	14										1			42					2			2													1
CH,DK																															1						4					
CH,DK,KR																																			12					13		
CH,DK,SE																														2												
CH,DK,SI																																			9							
CH,DZ																				1																						
CH,EG,FI,FR,RU												6																														
CH,ES																		3						3	1	15			1	11	6				4	1		6			5	
CH,ES,FR														1																										17		
CH,ES,FR,MA																																	6									
CH,ES,GB,PT																																			2							
CH,ES,IT,US																				1																						
CH,ES,NL																																5										
CH,ES,PT																				10																						
CH,ES,RU,US																																							1			
CH,ES,US																											2															
CH,FR				2	5	11	2		6		3	1	6		3			4	5	21	13	8	18	10	51	7	29	33	31	12	27	34	8		62		24	28	11	42	13	17
CH,FR,GB																			1	1						3							19	5								
CH,FR,GB,IT																															2											
CH,FR,GB,JP,RU																						2																				
CH,FR,GR																																				4						
CH,FR,HU,PT																											1															
CH,FR,IL														1																												
CH,FR,IT														1												1												2				
CH,FR,JP													1																													
CH,FR,JP,US																																								1		
CH,FR,KR																																				4						
CH,FR,MA																																						1				
CH,FR,MD,PL																									2																	
CH,FR,NL													6			2	13	3	2	7	7	4	2	7		8	3		2	2	7	5		2								
CH,FR,RU											1		8			1		2																					1			
CH,FR,UA																				1																						
