	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AR,GR																																					1					
AR,GR,IT																														3												
AR,HR																																					7		11			
AR,HU																					1				6	5	17	31			9	11									9	
AR,HU,NL																													7	14												
AR,HU,NL,UY																																						4				
AR,IL						1		1																				40					7				5			15		
AR,IL,US																																		22								
AR,IN																																10	2		4					2	50	2
AR,IN,JO,MU,SA,ZA																																										14
AR,IN,JO,SA,US,ZA																																								11		
AR,IN,JO,SA,ZA																																								4		
AR,IN,JO,ZA																																									29	
AR,IN,SA																																							7			
AR,IN,TW																																										2
AR,IN,US,VN																																								17		
AR,IN,ZA																																				5	8	2				
AR,IR																											1	4		2		5	1		4	4				1		
AR,IR,IT																									2																	
AR,IR,PK																																									2	
AR,IT									20		11	4	6	2		1					19	29	3		9	4	7			1	11	4	26	10	23	29	20	14	5	62	25	7
AR,IT,JP																																				2						
AR,IT,RU																	1																									
AR,IT,SE																																	3									
AR,IT,SI																																								157		
AR,IT,US																					1												1									
AR,IT,US,UY																																5										
AR,IT,US,null																													1													
AR,IT,UY																																										
AR,JP																			11	6		10	2					25	4	20	4	5		2			7					6
AR,JP,UY																																3										
AR,KR,PK,SA,SE																																							12			
AR,KZ																																				1	2					
AR,MA																																										1
AR,MA,MY,TN																																										1
AR,MA,TR																																									1	
AR,MX						8	25									16	8	12	9	3	14	8	8		4						6				6	21	8	4	3			8
AR,MX,None																			3																							
AR,MX,PK																																						39				
AR,MX,PT																														2												
AR,MX,US																																				3						
AR,MY																																					1					2
AR,NG																											4			1												
AR,NL																																			6					7		3
AR,NZ,PK																																					2					
AR,PE																						1													11		3			3		
AR,PK																																			1			10	2	9		
AR,PK,SE																																						17				
AR,PK,TR																																								1		
AR,PL																																										35
AR,PL,SK																																						3				
AR,PR																																					11					
AR,PT																																		14	4	3	2	1		5		4
AR,PT,TH																																							1			
AR,PT,UY																																							31			
AR,PY																				2																						
AR,RU																					2												1					7				
AR,RU,US																																							6			
AR,SE									4				3															11					10									
AR,SE,UY																																									1	
AR,SI																																						10			1	
AR,SI,UY																																									7	
AR,SV																																								5		
AR,TN																																								2		
AR,TR																																	15									
AR,UA																				1																						
AR,US				7	11	6	26	33	17	16		24	32	4	11	38	28	21	7	9	4	7	28	11	1		67	25	10	14	57	44	134	45	59	68	149	122	102	61	42	39
AR,US,UY																															19											
AR,US,VE																																										13
AR,UY																4	3	3	11	6	5	1	5	1			37	28	59	49	22	8	1	1		39	42	1	25			2
AR,VE	1																		3		3					4		2											10			
AR,ZA																														2			6						2	4		
AR,null				3																									20								6					
