1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	
AU,IT,NZ																											4	4		9	15								4			
AU,IT,PT																																		14								
AU,IT,RO																											5															
AU,IT,SE																																						1				
AU,IT,TW																																		1								
AU,IT,UA																						2												3								
AU,JO																		3																								
AU,JP									5	3			2							2	1	2	18		2	30	9		8		9		32	3	12	15	29	34	13	31	19	3
AU,JP,KR																																						9			4	
AU,JP,MY																												6														
AU,JP,NZ,null																													8													
AU,JP,SE																																					1					
AU,JP,US																						5							7										13			
AU,KR																					51	2			6			15	9			2		1	9					3		
AU,LB																																13										3
AU,LK	2																																	2								8
AU,MY				1	2				3	3	16	2			4	4				7							2				3	1		3		5	13		9	22	1	
AU,MY,SG											3																			5												
AU,MY,US										2																																
AU,NG					5																																					
AU,NL																	19	6				2		3		3					1				4					12		
AU,NL,PL,UA																						5																				
AU,NL,UA																					2																					
AU,NL,US																													1													
AU,NO,US																																			6							
AU,NZ	1	6	10	5	3			12	5		12	7					1	36	1	10	5	41	14	38	28	80	11	57	37	30	25	52	32	19	38	15	24	10	9	36	49	105
AU,NZ,TH																												1	4	8			7		8		6	7	2	6		
AU,NZ,TH,null																													9													
AU,NZ,US																					5											9	15		2	7	4		3			
AU,PH																															11				3					12		
AU,PK																																2	12	1		2		3	19			
AU,PK,US																																				2						
AU,PL	3	1																											6								3			8	4	
AU,PL,RU,UA,US																													1													
AU,PL,UA																													2	3								4				
AU,PL,UA,US																									1		2															
AU,PT																																		1								
AU,PT,UA																																						2		2		
AU,QA																																				1						
AU,RS,US	7																																									
AU,RU																							7																	11		2
AU,RU,US																																								24		
AU,SA																						9											7			14	1			8	10	8
AU,SA,SK,TN																																										1
AU,SA,TN																																										1
AU,SE					1	2														4	2				4	1		28						1			5		3	9		
AU,SG																			4			1	24	55	74	14			46						1			12				
AU,SG,null																												2														
AU,SK																													7													
AU,SK,TN																																									1	
AU,SK,UA																																							1			
AU,SK,UA,US																																					1					
